squeezing_db,pZ_proxy,loss_base,pE_data,pE_anc,distance,trials,success_prob_within_cap,erasure_rate,avg_rounds_given_success,avg_fidelity_injected_given_success,avg_fidelity_logical_given_success,p_phys_eff
8.0,0.003648603757513078,0.005,0.005109458112725392,0.007664187169088088,1.0,5000.0,0.9846,0.0154,1.1757058704042251,0.7959900699140503,0.7649913091992231,0.0020945811272539234
8.0,0.003648603757513078,0.005,0.005109458112725392,0.007664187169088088,3.0,5000.0,0.984,0.016,1.1896341463414635,0.7959900699140503,0.7894971279978964,0.0020945811272539234
8.0,0.003648603757513078,0.005,0.005109458112725392,0.007664187169088088,5.0,5000.0,0.982,0.018,1.1824847250509165,0.7959900699140502,0.7946300705542572,0.0020945811272539234
8.0,0.003648603757513078,0.005,0.005109458112725392,0.007664187169088088,7.0,5000.0,0.9844,0.0156,1.1793986184477854,0.7959900699140502,0.7957052070148399,0.0020945811272539234
8.5,0.003062846040249265,0.005,0.005091885381207479,0.007637828071811217,1.0,5000.0,0.9848,0.0152,1.174654752233956,0.7958050573225783,0.7674247242288573,0.0019188538120747795
8.5,0.003062846040249265,0.005,0.005091885381207479,0.007637828071811217,3.0,5000.0,0.983,0.017,1.1820956256358088,0.7958050573225784,0.7903592862880945,0.0019188538120747795
8.5,0.003062846040249265,0.005,0.005091885381207479,0.007637828071811217,5.0,5000.0,0.9852,0.0148,1.1816889971579374,0.7958050573225784,0.7947600934716581,0.0019188538120747795
8.5,0.003062846040249265,0.005,0.005091885381207479,0.007637828071811217,7.0,5000.0,0.9858,0.0142,1.1903022925542706,0.7958050573225783,0.7956045440356966,0.0019188538120747795
9.0,0.002571127612022411,0.005,0.005077133828360673,0.007615700742541008,1.0,5000.0,0.9854,0.0146,1.1871321290846357,0.7956495787300862,0.7694648078632464,0.0017713382836067233
9.0,0.002571127612022411,0.005,0.005077133828360673,0.007615700742541008,3.0,5000.0,0.981,0.019,1.2034658511722731,0.7956495787300861,0.7910113700216961,0.0017713382836067233
9.0,0.002571127612022411,0.005,0.005077133828360673,0.007615700742541008,5.0,5000.0,0.9844,0.0156,1.1877285656237302,0.7956495787300862,0.7948279950648334,0.0017713382836067233
9.0,0.002571127612022411,0.005,0.005077133828360673,0.007615700742541008,7.0,5000.0,0.9866,0.0134,1.1745388201905533,0.7956495787300862,0.7955040484701414,0.0017713382836067233
9.5,0.00215835112520578,0.005,0.005064750533756174,0.00759712580063426,1.0,5000.0,0.9876,0.0124,1.1814499797488862,0.7955189424126645,0.7711754906638911,0.0016475053375617338
9.5,0.00215835112520578,0.005,0.005064750533756174,0.00759712580063426,3.0,5000.0,0.9838,0.0162,1.187436470827404,0.7955189424126646,0.7915083457435865,0.0016475053375617338
9.5,0.00215835112520578,0.005,0.005064750533756174,0.00759712580063426,5.0,5000.0,0.9862,0.0138,1.1861691340498886,0.7955189424126646,0.7948581944707531,0.0016475053375617338
9.5,0.00215835112520578,0.005,0.005064750533756174,0.00759712580063426,7.0,5000.0,0.9856,0.0144,1.1895292207792207,0.7955189424126646,0.7954100838365562,0.0016475053375617338
10.0,0.00181184300533911,0.005,0.005054355290160173,0.007581532935240259,1.0,5000.0,0.9874,0.0126,1.1814867328337046,0.7954091951772986,0.7726102091585111,0.001543552901601733
10.0,0.00181184300533911,0.005,0.005054355290160173,0.007581532935240259,3.0,5000.0,0.9872,0.0128,1.182131280388979,0.7954091951772985,0.7918900510750106,0.001543552901601733
10.0,0.00181184300533911,0.005,0.005054355290160173,0.007581532935240259,5.0,5000.0,0.9846,0.0154,1.1927686370099533,0.7954091951772986,0.7948659966682743,0.001543552901601733
10.0,0.00181184300533911,0.005,0.005054355290160173,0.007581532935240259,7.0,5000.0,0.9836,0.0164,1.1693777958519724,0.7954091951772986,0.7953253496138233,0.001543552901601733
10.5,0.0015209643313634966,0.005,0.0050456289299409054,0.007568443394911357,1.0,5000.0,0.9862,0.0138,1.1914418981950923,0.79531700813477,0.7738136581907621,0.001456289299409049
10.5,0.0015209643313634966,0.005,0.0050456289299409054,0.007568443394911357,3.0,5000.0,0.9864,0.0136,1.178426601784266,0.7953170081347701,0.7921854982922792,0.001456289299409049
10.5,0.0015209643313634966,0.005,0.0050456289299409054,0.007568443394911357,5.0,5000.0,0.9838,0.0162,1.174019109575117,0.79531700813477,0.7948609697073086,0.001456289299409049
10.5,0.0015209643313634966,0.005,0.0050456289299409054,0.007568443394911357,7.0,5000.0,0.9834,0.0166,1.1871059589180395,0.7953170081347701,0.795250595746567,0.001456289299409049
